"","Season","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","Team1P","Team1HomeW","Team1HomeD","Team1HomeL","Team1HomeGF","Team1HomeGA","Team1AwayW","Team1AwayD","Team1AwayL","Team1AwayGF","Team1AwayGA","Team1GD","Team1Pts","Team2P","Team2HomeW","Team2HomeD","Team2HomeL","Team2HomeGF","Team2HomeGA","Team2AwayW","Team2AwayD","Team2AwayL","Team2AwayGF","Team2AwayGA","Team2GD","Team2Pts"
"105",1,"E0","31/10/98","Sheffield Weds","Southampton",0,0,"D",10,2,1,2,4,2,1,0,4,4,8,-2,10,10,1,1,3,5,9,0,1,4,1,14,-17,5
"106",1,"E0","31/10/98","Wimbledon","Blackburn",1,1,"D",10,2,2,1,9,7,1,2,2,6,11,-3,13,10,2,1,2,8,6,0,1,4,2,8,-4,8
"107",1,"E0","01/11/98","Middlesbrough","Nott'm Forest",1,1,"D",10,2,3,0,9,4,2,1,2,7,7,5,16,10,1,2,2,2,4,1,0,4,5,12,-9,8
"108",1,"E0","02/11/98","Tottenham","Charlton",2,2,"D",10,2,1,2,7,10,2,1,2,5,6,-4,14,10,2,1,1,11,5,1,3,2,6,9,3,13
"109",1,"E0","07/11/98","Aston Villa","Tottenham",3,2,"H",10,4,1,0,8,2,2,3,0,3,1,8,22,11,2,2,2,9,12,2,1,2,5,6,-4,15
"110",1,"E0","07/11/98","Blackburn","Coventry",1,2,"A",11,2,1,2,8,6,0,2,4,3,9,-4,9,11,2,1,3,5,9,0,1,4,2,8,-10,8
"111",1,"E0","07/11/98","Charlton","Leicester",0,0,"D",11,2,1,1,11,5,1,4,2,8,11,3,14,11,3,2,1,7,4,1,2,2,4,6,1,16
"112",1,"E0","07/11/98","Liverpool","Derby",1,2,"A",11,2,3,0,11,5,2,1,3,7,7,6,16,11,2,3,1,6,4,1,2,2,4,5,1,14
"113",1,"E0","07/11/98","Nott'm Forest","Wimbledon",0,1,"A",11,1,2,2,2,4,1,1,4,6,13,-9,9,11,2,3,1,10,8,1,2,2,6,11,-3,14
"114",1,"E0","07/11/98","Southampton","Middlesbrough",3,3,"D",11,1,1,3,5,9,0,2,4,1,14,-17,6,11,2,4,0,10,5,2,1,2,7,7,5,17
"115",1,"E0","08/11/98","Arsenal","Everton",1,0,"H",11,3,2,0,9,2,2,3,1,4,3,8,20,11,0,4,2,1,5,2,2,1,6,5,-3,12
"116",1,"E0","08/11/98","Leeds","Sheffield Weds",2,1,"H",11,2,2,1,4,1,0,6,0,7,7,3,14,11,2,2,2,4,2,1,0,4,4,8,-2,11
"117",1,"E0","08/11/98","Man United","Newcastle",0,0,"D",10,4,1,0,15,4,2,2,1,8,5,14,21,11,3,1,2,9,8,1,1,3,6,8,-1,14
"118",1,"E0","08/11/98","West Ham","Chelsea",1,1,"D",11,2,2,1,6,5,2,2,2,6,7,0,16,9,3,2,0,7,3,1,2,1,6,6,4,16
"119",1,"E0","14/11/98","Arsenal","Tottenham",0,0,"D",12,4,2,0,10,2,2,3,1,4,3,9,23,12,2,2,2,9,12,2,1,3,7,9,-5,15
"120",1,"E0","14/11/98","Charlton","Middlesbrough",1,1,"D",12,2,2,1,11,5,1,4,2,8,11,3,15,12,2,4,0,10,5,2,2,2,10,10,5,18
"121",1,"E0","14/11/98","Chelsea","Wimbledon",3,0,"H",10,3,2,0,7,3,1,3,1,7,7,4,17,12,2,3,1,10,8,2,2,2,7,11,-2,17
"122",1,"E0","14/11/98","Liverpool","Leeds",1,3,"A",12,2,3,1,12,7,2,1,3,7,7,5,16,12,3,2,1,6,2,0,6,0,7,7,4,17
"123",1,"E0","14/11/98","Man United","Blackburn",3,2,"H",11,4,2,0,15,4,2,2,1,8,5,14,22,12,2,1,3,9,8,0,2,4,3,9,-5,9
"124",1,"E0","14/11/98","Newcastle","Sheffield Weds",1,1,"D",12,3,1,2,9,8,1,2,3,6,8,-1,15,12,2,2,2,4,2,1,0,5,5,10,-3,11
"125",1,"E0","14/11/98","Southampton","Aston Villa",1,4,"A",12,1,2,3,8,12,0,2,4,1,14,-17,7,11,5,1,0,11,4,2,3,0,3,1,9,25
"126",1,"E0","14/11/98","West Ham","Leicester",3,2,"H",12,2,3,1,7,6,2,2,2,6,7,0,17,12,3,2,1,7,4,1,3,2,4,6,1,17
